ANNIO_MATRICULA_INDICE,INGRESO_FAMILIAR,Ptje_Desercion_2017,Ptje_Desercion_2018,Ptje_Desercion_2019,Ptje_Desercion_2020
2018,1,14.93,NA,NA,NA
2018,2,5.17,NA,NA,NA
2018,NA,6.12,NA,NA,NA
2019,1,23.88,6.45,NA,NA
2019,2,13.79,15.69,NA,NA
2019,NA,8.16,17.86,NA,NA
2020,1,34.33,9.68,12,NA
2020,2,17.24,13.73,19.05,NA
2020,NA,10.2,35.71,14.29,NA
2021,1,34.33,8.06,17.33,7.84
