ANNIO_MATRICULA_INDICE,INGRESO_FAMILIAR,Ptje_Desercion_2017,Ptje_Desercion_2018,Ptje_Desercion_2019,Ptje_Desercion_2020
2018,1,20.69,NA,NA,NA
2018,2,5.88,NA,NA,NA
2018,NA,16.67,NA,NA,NA
2019,1,20.69,6.45,NA,NA
2019,2,5.88,20,NA,NA
2019,NA,16.67,20,NA,NA
2020,1,20.69,6.45,2.94,NA
2020,2,8.82,16.67,13.64,NA
2020,NA,16.67,30,NA,NA
2021,1,20.69,6.45,5.88,9.09
